id,vehicle_id,checklist_template_id,assigned_at,company_id
02cf96ff-08f3-4833-9ef1-ef3077be4a8f,f9915572-a73b-4cc8-903d-daacb41332f5,chk_1768534289491_2i8sc61jq,2026-01-16 03:54:09.347391+00,e568c1dd-5848-4b99-b351-77d5d2606d74
030144dc-cdbe-47c5-93f4-92f00ac4c62f,67180abd-3eb2-4f0b-994c-9ef1a20ffbfc,chk_1768531239676_a3rsp1649,2026-01-17 19:21:26.186689+00,e568c1dd-5848-4b99-b351-77d5d2606d74
06afdf9d-78c3-4742-aa0d-0372da815b89,5772a55c-6c24-455e-ab64-3ca3f5c7456e,chk_1768531239676_a3rsp1649,2026-01-17 19:13:40.480733+00,e568c1dd-5848-4b99-b351-77d5d2606d74
0e2c7345-06a0-46ff-850c-51a0462e3e38,f9915572-a73b-4cc8-903d-daacb41332f5,chk_1768534078646_poatrjbcb,2026-01-16 03:54:09.347391+00,e568c1dd-5848-4b99-b351-77d5d2606d74
16a067d8-b4a4-410c-b366-2119a23747dc,67180abd-3eb2-4f0b-994c-9ef1a20ffbfc,chk_1768529622288,2026-01-17 19:21:24.852215+00,e568c1dd-5848-4b99-b351-77d5d2606d74
2791db2a-15d2-42df-ade9-d9bee8cb0bf2,f9915572-a73b-4cc8-903d-daacb41332f5,chk_1768534685157_eqtc08xoa,2026-01-16 03:54:09.347391+00,e568c1dd-5848-4b99-b351-77d5d2606d74
2c6c1f7d-f427-4465-8730-6cfed30bf9b1,f9915572-a73b-4cc8-903d-daacb41332f5,chk_1768267134035,2026-01-16 02:38:28.124557+00,e568c1dd-5848-4b99-b351-77d5d2606d74
322e9530-08f3-4c18-81a3-9098133d9085,5772a55c-6c24-455e-ab64-3ca3f5c7456e,chk_1768532185903_v51gvr24u,2026-01-17 19:13:41.160677+00,e568c1dd-5848-4b99-b351-77d5d2606d74
38c16789-3f2a-48d7-84fa-fe6c576149b2,67180abd-3eb2-4f0b-994c-9ef1a20ffbfc,chk_1768532185903_v51gvr24u,2026-01-17 19:21:26.862836+00,e568c1dd-5848-4b99-b351-77d5d2606d74
426e3bed-ab4b-441e-9a5f-b1cf946ca5fe,f9915572-a73b-4cc8-903d-daacb41332f5,chk_1768534614970_wldiuulvr,2026-01-16 03:54:09.347391+00,e568c1dd-5848-4b99-b351-77d5d2606d74
447df811-4d83-467f-8e09-a6ab3b28bd5c,f9915572-a73b-4cc8-903d-daacb41332f5,chk_1768534750797_yljef9es9,2026-01-16 03:54:09.347391+00,e568c1dd-5848-4b99-b351-77d5d2606d74
4db5ad4c-22c9-4af5-bc10-32e3b115688f,f9915572-a73b-4cc8-903d-daacb41332f5,chk_1768534967096_z2qvknbje,2026-01-16 03:54:09.347391+00,e568c1dd-5848-4b99-b351-77d5d2606d74
68d454a1-0410-4d43-bc27-5018774fb7d3,f9915572-a73b-4cc8-903d-daacb41332f5,chk_1768529622288,2026-01-16 02:41:58.073904+00,e568c1dd-5848-4b99-b351-77d5d2606d74
68d81042-12b5-41e9-b101-765954e65f98,f9915572-a73b-4cc8-903d-daacb41332f5,chk_1768531239676_a3rsp1649,2026-01-16 02:41:57.783164+00,e568c1dd-5848-4b99-b351-77d5d2606d74
82f11cea-4f9d-46e5-90d4-03a29360c18e,f9915572-a73b-4cc8-903d-daacb41332f5,chk_1768535170722_8sznjqkzl,2026-01-16 03:54:09.347391+00,e568c1dd-5848-4b99-b351-77d5d2606d74
871cbb78-a0c1-41aa-aa48-9252d1081bc5,5772a55c-6c24-455e-ab64-3ca3f5c7456e,chk_1768529622288,2026-01-17 19:13:39.877842+00,e568c1dd-5848-4b99-b351-77d5d2606d74
d9ee071d-8c52-4c45-b3e8-7a69141451c6,f9915572-a73b-4cc8-903d-daacb41332f5,chk_1768532185903_v51gvr24u,2026-01-16 02:59:35.687885+00,e568c1dd-5848-4b99-b351-77d5d2606d74
e5efb2c6-a862-480f-b5fe-16f8e04dc2a9,f9915572-a73b-4cc8-903d-daacb41332f5,chk_1768534385446_17i9vkcsw,2026-01-16 03:54:09.347391+00,e568c1dd-5848-4b99-b351-77d5d2606d74
ea5900f4-8a06-423b-81a6-45a22ee6ee7c,035d1416-aeba-4796-b305-c696d0e07ad6,chk_1768529622288,2026-01-16 02:17:39.160907+00,e568c1dd-5848-4b99-b351-77d5d2606d74