id,vehicle_type_id,checklist_template_id,assigned_at
08956f5d-8d96-40e3-96c2-bde710fa2814,6b262e54-8935-4af2-9a9d-a77b6ae5e67d,chk_1768529622288,2026-01-16 02:15:18.540002+00
09ece2d3-062c-4388-811b-c5ac5f52d9ed,fdc818c7-109b-4446-8b3e-c26984afaf57,chk_1768534385446_17i9vkcsw,2026-01-16 03:52:51.581155+00
0da763ec-7fd4-461c-82aa-24363c682324,b31f38e3-5cfa-4bf5-ac42-00a18405412d,chk_1768531239676_a3rsp1649,2026-01-17 19:10:23.579251+00
1158ee9a-4e26-43d3-ad72-7c71327c8a60,fdc818c7-109b-4446-8b3e-c26984afaf57,chk_1768534078646_poatrjbcb,2026-01-16 03:53:22.989112+00
162008f2-9901-400b-9f17-d7ecbff22821,fdc818c7-109b-4446-8b3e-c26984afaf57,chk_1768531239676_a3rsp1649,2026-01-16 02:41:05.185534+00
1c0b248b-a9f9-4c2d-9fb5-be475a069b56,b31f38e3-5cfa-4bf5-ac42-00a18405412d,chk_1768532185903_v51gvr24u,2026-01-17 19:10:24.191989+00
1d862a1d-e58f-4073-bd2f-a8fa2cef005e,936cddac-2335-4278-b3b9-dce24803e745,chk_1768531239676_a3rsp1649,2026-01-17 19:10:45.774971+00
22a756e3-0b71-41e6-bcbf-5c69acc8009d,fdc818c7-109b-4446-8b3e-c26984afaf57,chk_1768534685157_eqtc08xoa,2026-01-16 03:52:20.889191+00
280ff2d4-eba3-40d0-9a68-209769f30dac,fdc818c7-109b-4446-8b3e-c26984afaf57,chk_1768529622288,2026-01-16 02:41:40.989835+00
2a362cae-7419-4b9e-97d0-7aa91ed852d4,fdc818c7-109b-4446-8b3e-c26984afaf57,chk_1768534750797_yljef9es9,2026-01-16 03:52:03.908558+00
2eef0dc3-3daa-4f8c-9915-19acd3587962,2932c095-6c9d-42a7-8a8a-b2e52dd4f807,chk_1768529622288,2026-01-17 19:11:28.743026+00
2f520131-2a2c-4f26-9d2d-e57d2721c568,4aa572f8-2a04-41ac-b4f1-9bd1180b4813,chk_1768531239676_a3rsp1649,2026-01-17 19:11:16.810462+00
303ba93d-3398-4840-a9d5-3b6778bfd3f1,fdc818c7-109b-4446-8b3e-c26984afaf57,chk_1768534967096_z2qvknbje,2026-01-16 03:51:44.758081+00
55bd0ad4-b4d6-4c43-b471-30196e429a45,fdc818c7-109b-4446-8b3e-c26984afaf57,chk_1768534614970_wldiuulvr,2026-01-16 03:52:36.955666+00
633bc27a-ca8e-45e7-bab5-05d64d83392d,fdc818c7-109b-4446-8b3e-c26984afaf57,chk_1768534289491_2i8sc61jq,2026-01-16 03:53:07.18239+00
81309515-017e-41c5-bb84-356fd032bd65,fdc818c7-109b-4446-8b3e-c26984afaf57,chk_1768535170722_8sznjqkzl,2026-01-16 03:50:50.672953+00
8639f577-cd93-4abc-ab7d-78574bd00a93,2932c095-6c9d-42a7-8a8a-b2e52dd4f807,chk_1768532185903_v51gvr24u,2026-01-17 19:11:29.686571+00
875fe3df-ae5b-4ea3-96da-7522af252a59,4aa572f8-2a04-41ac-b4f1-9bd1180b4813,chk_1768532185903_v51gvr24u,2026-01-17 19:11:17.12087+00
95d9161f-1671-419c-8ee0-07683b9854a3,936cddac-2335-4278-b3b9-dce24803e745,chk_1768532185903_v51gvr24u,2026-01-17 19:10:47.102764+00
9bfc24be-b6b1-4ba4-9a40-8264b245a470,2932c095-6c9d-42a7-8a8a-b2e52dd4f807,chk_1768531239676_a3rsp1649,2026-01-17 19:11:29.070182+00
a1697dea-a839-4908-a5a9-12551372e4e2,936cddac-2335-4278-b3b9-dce24803e745,chk_1768529622288,2026-01-17 19:10:45.366409+00
a5a59184-cbbb-4fe7-9c36-006ce43b1bc0,6b25c1f9-ef36-476d-a37c-882ad5a28948,chk_1768531239676_a3rsp1649,2026-01-17 19:10:58.900497+00
a7283888-79bf-4be3-b3d1-523d02b23311,4aa572f8-2a04-41ac-b4f1-9bd1180b4813,chk_1768529622288,2026-01-17 19:11:16.540158+00
dd4e31a6-ddbd-488f-885b-f952b9ed3bc3,fdc818c7-109b-4446-8b3e-c26984afaf57,chk_1768532185903_v51gvr24u,2026-01-16 02:59:14.100673+00
e2c46af6-a628-4d00-a8a5-f875b566bb3c,6b25c1f9-ef36-476d-a37c-882ad5a28948,chk_1768529622288,2026-01-17 19:10:58.584184+00
e852cc30-57c3-4d65-be6c-4acc18a493bc,fdc818c7-109b-4446-8b3e-c26984afaf57,chk_1768267134035,2026-01-16 02:38:44.341261+00
ebbff096-f8b4-4f38-a418-ad1d122af8b6,b31f38e3-5cfa-4bf5-ac42-00a18405412d,chk_1768529622288,2026-01-18 19:51:41.839582+00
fdb58113-2ae7-4c11-9b8c-7fc5e175a684,6b25c1f9-ef36-476d-a37c-882ad5a28948,chk_1768532185903_v51gvr24u,2026-01-17 19:10:59.206658+00